39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, 40, United-Kingdom, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 13, United-Kingdom, <=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, 40, United-Kingdom, <=50K
53, Private, year-11, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 40, United-Kingdom, <=50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 40, Cuba, <=50K
37, Without-pay, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, 40, Jamaica, <=50K
49, Private, year-9, Married-AF-spouse, Other-service, Not-in-family, Black, Female, 16, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, 45, United-States, >50K
31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, 50, United-Kingdom, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
37, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 80, Africa, >50K
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian, Male, 40, India, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, 30, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Male, 50, Jamaica, <=50K
40, Never-worked, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian, Male, 40, China, >50K
34, Private, year-7, Married-civ-spouse, Transport-moving, Husband, Hispanic , Male, 45, Mexico, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, 35, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male, 40, United-Kingdom, <=50K
38, Private, year-11, Married-civ-spouse, Sales, Husband, White, Male, 50, United-Kingdom, <=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Unmarried, White, Female, 45, Poland, >50K
40, Never-worked, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 60, Sweden, >50K
54, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female, 20, Grenada, <=50K
35, Federal-gov, year-9, Married-civ-spouse, Farming-fishing, Husband, Black, Male, 40, United-States, <=50K
43, Private, year-11, Married-civ-spouse, Transport-moving, Husband, White, Male,  40, United-Kingdom, <=50K
59, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female, 40, United-Kingdom, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, 40, United-Kingdom, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, 40, United-Kingdom, <=50K
54, Without-pay, Some-college, Married-civ-spouse, Sales, Husband, Asian, Male, 60, Singapore, >50K
39, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, 80, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-Kingdom, <=50K
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male, 52, United-Kingdom, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male, 44, Africa, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male, 40, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male, 40, United-States, <=50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male, 15, United-Kingdom, <=50K
48, Private, year-11, Never-married, Machine-op-inspct, Unmarried, White, Male, 40, Puerto-Rico, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, 40, United-Kingdom, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female, 25, United-Kingdom, <=50K
